city,date,PM2.5,AQI
Beijing,20130728,39,426
Beijing,20130729,53,435.3333333
Beijing,20130730,145.625,497.0833333
Beijing,20130731,67.83333333,445.2222222
Beijing,20130801,40.73684211,427.1578947
Beijing,20130802,77.65217391,451.7681159
Beijing,20130803,33.58333333,422.3888889
Beijing,20130804,93.16666667,462.1111111
Beijing,20130805,41.33333333,427.5555556
Beijing,20130806,190.0714286,526.7142857
Beijing,20130807,30.66666667,420.4444444
Beijing,20130808,39.25,426.1666667
Beijing,20130809,44.3,429.5333333
Beijing,20130810,96.36842105,464.245614
Beijing,20130812,57.63636364,438.4242424
Beijing,20130813,93.86363636,462.5757576
Beijing,20130814,85.83333333,457.2222222
Beijing,20130815,142.3333333,494.8888889
Beijing,20130816,139.4545455,492.969697
Beijing,20130817,41.45833333,427.6388889
Beijing,20130818,14.39130435,409.5942029
Beijing,20130819,25.5,417
Beijing,20130820,91.77272727,461.1818182
Beijing,20130821,97.65217391,465.1014493
Beijing,20130822,107.45,471.6333333
Beijing,20130823,50.52380952,433.6825397
Beijing,20130824,37.16666667,424.7777778
Beijing,20130825,42.125,428.0833333
Beijing,20130826,54.625,436.4166667
Beijing,20130827,55,436.6666667
Beijing,20130828,76.54166667,451.0277778
Beijing,20130829,28.04166667,418.6944444
Beijing,20130830,12.65,408.4333333
Beijing,20130831,22.625,415.0833333
Beijing,20130901,46.04166667,430.6944444
Beijing,20130902,58.29166667,438.8611111
Beijing,20130903,100.5833333,467.0555556
Beijing,20130904,70.79166667,447.1944444
Beijing,20130905,22.25,414.8333333
Beijing,20130906,73.75,449.1666667
Beijing,20130907,75.875,450.5833333
Beijing,20130908,108.75,472.5
Beijing,20130909,80.13636364,453.4242424
Beijing,20130910,61.70588235,441.1372549
Beijing,20130911,84.38461538,456.2564103
Beijing,20130912,148.3913043,498.9275362
Beijing,20130913,101.7272727,467.8181818
Beijing,20130914,61.125,440.75
Beijing,20130915,21.20833333,414.1388889
Beijing,20130916,53.63636364,435.7575758
Beijing,20130917,96.17647059,464.1176471
Beijing,20130918,107.4583333,471.6388889
Beijing,20130919,118.5833333,479.0555556
Beijing,20130920,60.8,440.5333333
Beijing,20130921,49.875,433.25
Beijing,20130922,86.95833333,457.9722222
Beijing,20130923,34.04166667,422.6944444
Beijing,20130924,12.22727273,408.1515152
Beijing,20130925,13.16666667,408.7777778
Beijing,20130926,51.82608696,434.5507246
Beijing,20130927,185,523.3333333
Beijing,20130928,230.4,553.6
Beijing,20130929,219.5652174,546.3768116
Beijing,20130930,145.4285714,496.952381
Beijing,20131001,68.125,445.4166667
Beijing,20131002,17.08333333,411.3888889
Beijing,20131003,61.45833333,440.9722222
Beijing,20131004,161.7083333,507.8055556
Beijing,20131005,291.1304348,594.0869565
Beijing,20131006,217.2916667,544.8611111
Beijing,20131007,101.5833333,467.7222222
Beijing,20131008,74.11111111,449.4074074
Beijing,20131009,145.375,496.9166667
Beijing,20131010,75.54166667,450.3611111
Beijing,20131011,59.20833333,439.4722222
Beijing,20131012,69.125,446.0833333
Beijing,20131013,54.83333333,436.5555556
Beijing,20131014,37.73913043,425.1594203
Beijing,20131015,21.54166667,414.3611111
Beijing,20131016,51.4,434.2666667
Beijing,20131017,163.3076923,508.8717949
Beijing,20131018,235.3333333,556.8888889
Beijing,20131019,62.375,441.5833333
Beijing,20131020,25.52173913,417.0144928
Beijing,20131021,95.09090909,463.3939394
Beijing,20131022,138.3125,492.2083333
Beijing,20131023,23.85714286,415.9047619
Beijing,20131024,18.47058824,412.3137255
Beijing,20131025,45.57894737,430.3859649
Beijing,20131026,67.8125,445.2083333
Beijing,20131027,219.1111111,546.0740741
Beijing,20131028,292.2666667,594.8444444
Beijing,20131029,30.58333333,420.3888889
Beijing,20131030,95.125,463.4166667
Beijing,20131031,149.25,499.5
Beijing,20131101,207.1666667,538.1111111
Beijing,20131102,266.0833333,577.3888889
Beijing,20131103,42.75,428.5
Beijing,20131104,46.56521739,431.0434783
Beijing,20131105,188.125,525.4166667
Beijing,20131106,106.875,471.25
Beijing,20131107,40.375,426.9166667
Beijing,20131108,154.5833333,503.0555556
Beijing,20131109,94.91666667,463.2777778
Beijing,20131110,18.75,412.5
Beijing,20131111,38.33333333,425.5555556
Beijing,20131112,61.56521739,441.0434783
Beijing,20131113,186.2173913,524.1449275
Beijing,20131114,67.09090909,444.7272727
Beijing,20131115,110.7916667,473.8611111
Beijing,20131116,45.66666667,430.4444444
Beijing,20131117,10.33333333,406.8888889
Beijing,20131118,9,406
Beijing,20131119,37.82608696,425.2173913
Beijing,20131120,71.20833333,447.4722222
Beijing,20131121,121.9090909,481.2727273
Beijing,20131122,161.5416667,507.6944444
Beijing,20131123,214.7391304,543.1594203
Beijing,20131124,86.66666667,457.7777778
Beijing,20131125,18.08695652,412.057971
Beijing,20131126,19.81818182,413.2121212
Beijing,20131127,6.458333333,404.3055556
Beijing,20131128,22.75,415.1666667
Beijing,20131129,56.375,437.5833333
Beijing,20131130,33.91666667,422.6111111
Beijing,20131201,80.91666667,453.9444444
Beijing,20131202,126.0833333,484.0555556
Beijing,20131203,86.04166667,457.3611111
Beijing,20131204,108.2916667,472.1944444
Beijing,20131205,45,430
Beijing,20131206,154.2916667,502.8611111
Beijing,20131207,326.5833333,617.7222222
Beijing,20131208,204.2916667,536.1944444
Beijing,20131209,15.83333333,410.5555556
Beijing,20131210,25.5,417
Beijing,20131211,30.04166667,420.0277778
Beijing,20131212,19.91666667,413.2777778
Beijing,20131213,62.08333333,441.3888889
Beijing,20131214,55.41666667,436.9444444
Beijing,20131215,54.04166667,436.0277778
Beijing,20131216,175.6818182,517.1212121
Beijing,20131217,23.64705882,415.7647059
Beijing,20131218,47.68181818,431.7878788
Beijing,20131219,76.71428571,451.1428571
Beijing,20131220,34.63636364,423.0909091
Beijing,20131221,76.08333333,450.7222222
Beijing,20131222,164.4583333,509.6388889
Beijing,20131223,145,496.6666667
Beijing,20131224,285.2608696,590.173913
Beijing,20131225,155.75,503.8333333
Beijing,20131226,9.5,406.3333333
Beijing,20131227,24.72727273,416.4848485
Beijing,20131228,24.44444444,416.2962963
Beijing,20131229,53.23529412,435.4901961
Beijing,20131230,44.42857143,429.6190476
Beijing,20131231,49.125,432.75
Beijing,20140101,50.36363636,433.5757576
Beijing,20140102,150.375,500.25
Beijing,20140103,48.19047619,432.1269841
Beijing,20140104,143.5416667,495.6944444
Beijing,20140105,96.33333333,464.2222222
Beijing,20140106,141.125,494.0833333
Beijing,20140107,101.7916667,467.8611111
Beijing,20140108,17.66666667,411.7777778
Beijing,20140109,28.08333333,418.7222222
Beijing,20140110,77.26315789,451.5087719
Beijing,20140111,142.2916667,494.8611111
Beijing,20140112,25.94736842,417.2982456
Beijing,20140113,118.0833333,478.7222222
Beijing,20140114,108.6956522,472.4637681
Beijing,20140115,196.8333333,531.2222222
Beijing,20140116,408.375,672.25
Beijing,20140117,149.6666667,499.7777778
Beijing,20140118,72.58333333,448.3888889
Beijing,20140119,114.2608696,476.173913
Beijing,20140120,7.958333333,405.3055556
Beijing,20140121,42.95652174,428.6376812
Beijing,20140122,145.6818182,497.1212121
Beijing,20140123,261.9,574.6
Beijing,20140124,138.3636364,492.2424242
Beijing,20140125,23.1875,415.4583333
Beijing,20140126,53.2,435.4666667
Beijing,20140127,85.54166667,457.0277778
Beijing,20140128,41.58333333,427.7222222
Beijing,20140129,132.7083333,488.4722222
Beijing,20140130,66.95833333,444.6388889
Beijing,20140131,148.1666667,498.7777778
Beijing,20140201,141.173913,494.115942
Beijing,20140202,64.54166667,443.0277778
Beijing,20140203,6.130434783,404.0869565
Beijing,20140204,26.125,417.4166667
Beijing,20140205,90.70833333,460.4722222
Beijing,20140206,127.6666667,485.1111111
Beijing,20140207,90.04166667,460.0277778
Beijing,20140208,51,434
Beijing,20140209,10.47826087,406.9855072
Beijing,20140210,23.95833333,415.9722222
Beijing,20140211,125.047619,483.3650794
Beijing,20140212,132.2608696,488.173913
Beijing,20140213,188.7916667,525.8611111
Beijing,20140214,295.826087,597.2173913
Beijing,20140215,399.9166667,666.6111111
Beijing,20140216,280.25,586.8333333
Beijing,20140217,74.13043478,449.4202899
Beijing,20140218,69.40909091,446.2727273
Beijing,20140219,72.20833333,448.1388889
Beijing,20140220,234.7272727,556.4848485
Beijing,20140221,278.0909091,585.3939394
Beijing,20140222,271.3478261,580.8985507
Beijing,20140223,228.1363636,552.0909091
Beijing,20140224,285.3529412,590.2352941
Beijing,20140225,404.4,669.6
Beijing,20140226,292.5,595
Beijing,20140227,16.86363636,411.2424242
Beijing,20140228,88.41666667,458.9444444
Beijing,20140301,76.125,450.75
Beijing,20140302,146.0416667,497.3611111
Beijing,20140303,223.6086957,549.0724638
Beijing,20140304,45.91304348,430.6086957
Beijing,20140305,22.95833333,415.3055556
Beijing,20140306,17.75,411.8333333
Beijing,20140307,59.80952381,439.8730159
Beijing,20140308,154.4583333,502.9722222
Beijing,20140309,107.2916667,471.5277778
Beijing,20140310,95.69565217,463.7971014
Beijing,20140311,178.7391304,519.1594203
Beijing,20140312,16.375,410.9166667
Beijing,20140313,21.75,414.5
Beijing,20140314,22.625,415.0833333
Beijing,20140315,111.5,474.3333333
Beijing,20140316,117.0416667,478.0277778
Beijing,20140317,81.66666667,454.4444444
Beijing,20140318,38.54166667,425.6944444
Beijing,20140319,51.875,434.5833333
Beijing,20140320,9.5,406.3333333
Beijing,20140321,27.47826087,418.3188406
Beijing,20140322,63.20833333,442.1388889
Beijing,20140323,151.75,501.1666667
Beijing,20140324,231.5652174,554.3768116
Beijing,20140325,206.2083333,537.4722222
Beijing,20140326,301,600.6666667
Beijing,20140327,234.8095238,556.5396825
Beijing,20140328,134.2105263,489.4736842
Beijing,20140329,37.95833333,425.3055556
Beijing,20140330,36.08333333,424.0555556
Beijing,20140331,155.6666667,503.7777778
Beijing,20140401,123.6086957,482.4057971
Beijing,20140402,106.6521739,471.1014493
Beijing,20140403,22.29166667,414.8611111
Beijing,20140404,31.54166667,421.0277778
Beijing,20140405,26.54166667,417.6944444
Beijing,20140406,60.36363636,440.2424242
Beijing,20140407,103.0869565,468.7246377
Beijing,20140408,173.25,515.5
Beijing,20140409,119.7058824,479.8039216
Beijing,20140410,85.3,456.8666667
Beijing,20140411,60.6,440.4
Beijing,20140412,119.2857143,479.5238095
Beijing,20140413,173.3333333,515.5555556
Beijing,20140414,222.3636364,548.2424242
Beijing,20140415,56.68181818,437.7878788
Beijing,20140416,59.76190476,439.8412698
Beijing,20140417,109.4166667,472.9444444
Beijing,20140418,129.8333333,486.5555556
Beijing,20140419,59,439.3333333
Beijing,20140420,69.8,446.5333333
Beijing,20140421,67.625,445.0833333
Beijing,20140422,76.7826087,451.1884058
Beijing,20140423,131.7058824,487.8039216
Beijing,20140426,33,422
